,ACTIVITY DATE,FACILITY ID,FACILITY NAME,PROGRAM STATUS,PE DESCRIPTION,FACILITY ADDRESS,FACILITY CITY,FACILITY ZIP,SCORE,GRADE
116149,2017-09-26,FA0149526,UPWARD BOUND HOUSE SHELTER,ACTIVE,RESTAURANT (61-150) SEATS LOW RISK,12841 W WASHINGTON BLVD,LOS ANGELES,90066-5130,100,A
194079,2018-09-10,FA0008347,CHAMPS ELYSEES,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,275 S ROBERTSON BLVD,BEVERLY HILLS,90211,95,A
176661,2018-06-25,FA0251236,PATRICIO'S GRILL & PASTA,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,14700 LAKE ELIZABETH RD,LAKE HUGHES,93532,95,A
175032,2018-06-19,FA0015655,CLAIM JUMPER,ACTIVE,RESTAURANT (151 + ) SEATS HIGH RISK,820 W HUNTINGTON DR,MONROVIA,91016,91,A
180477,2018-07-13,FA0177839,JANGCHUNG PYUNGANDO JOKBAL,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,2716 W OLYMPIC BLVD # 104,LOS ANGELES,90006,92,A
180796,2018-07-16,FA0241981,TACOS EL PUEBLA,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,15347 ROSCOE BLVD,PANORAMA CITY,91402-4302,91,A
171663,2018-06-05,FA0245291,MERENGUE BAKERY & CAFE,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,417 S MYRTLE AVE,MONROVIA,91016,95,A
147896,2018-02-26,FA0224411,CAFE 86,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,11622 SOUTH ST,ARTESIA,90701,91,A
195751,2018-09-14,FA0171934,HAPPY TABLE,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,203 W VALLEY BLVD,ALHAMBRA,91801-5053,83,B
196681,2018-09-18,FA0053862,VEGE PARADISE RESTAURANT,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,140 W VALLEY BLVD STE 222,SAN GABRIEL,91776,96,A
187054,2018-08-08,FA0043842,PHO CT VIETNAMESE RESTAURANT,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,8366 TOPANGA CYN BLVD,CANOGA PARK,91304,91,A
189359,2018-08-17,FA0160908,B SWEET DESSERT BAR,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,2005 S SAWTELLE BLVD,LOS ANGELES,90025-6229,94,A
180209,2018-07-12,FA0160919,OUMI SUSHI @ SPROUTS 272,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,6607 FALLBROOK AVE,WEST HILLS,91307,98,A
179733,2018-07-11,FA0261706,KOKIO CHICKEN,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,1111 PACIFIC COAST HWY # 17,HARBOR CITY,90710,94,A
197114,2018-09-19,FA0070668,SOL Y LUNA,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,19601 VENTURA BLVD,TARZANA,91356,97,A
166477,2018-05-11,FA0174581,PRIME GRIND COFFEE,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,714 W 1ST ST,LOS ANGELES,90012,92,A
185173,2018-08-01,FA0262159,LADY M,ACTIVE,RESTAURANT (0-30) SEATS LOW RISK,400 S BALDWIN AVE # E-21,ARCADIA,91007,96,A
173502,2018-06-12,FA0023399,MALIBU FISH GRILL,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,725 N PACIFIC COAST HWY,REDONDO BEACH,90277,94,A
178941,2018-07-09,FA0247878,LA ESPIGUITA DE ORO,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,1842 N BULLIS RD STE A,COMPTON,90221,87,B
188523,2018-08-15,FA0240788,BAR LOUIE,ACTIVE,RESTAURANT (151 + ) SEATS HIGH RISK,8860 APOLLO WAY,DOWNEY,90242-4028,91,A
189486,2018-08-17,FA0142504,SODEXO HONDA CAFE,ACTIVE,RESTAURANT (151 + ) SEATS HIGH RISK,1919 TORRANCE BLVD,TORRANCE,90501-2722,92,A
